,stocks,dates,BasicEPS,DilutedEPS,CashEPS,DivPS,OpRev,NPS,ROCE,NPMargin,ROA,ROE2Networth,EntValue,EntValuePerNetSales,Price2Book,Price2Sales,RetentionRatios,EarningYield,AssetTurnRatio,EVPerEBITDA,PBDITMargin
0,SBI,Mar 21,22.87,22.87,26.59,4.00,297.10,22.87,1.64,7.69,0.45,8.86,4210541.48,15.88,1.41,1.23,82.50,0.06,---,---,---
1,SBI,Mar 20,16.23,16.23,19.94,0.00,288.33,16.23,1.79,5.63,0.36,6.95,3565310.84,13.86,0.84,0.68,100.00,0.08,---,---,---
2,SBI,Mar 19,0.97,0.97,0.97,0.00,272.13,0.97,0.00,0.35,0.02,0.39,3423771.88,14.10,1.30,1.18,100.00,0.00,---,---,---
3,SBI,Mar 18,-7.67,-7.67,-4.07,0.00,247.07,-7.34,1.81,-2.96,-0.18,-3.37,3141292.12,14.25,1.15,1.01,100.00,-0.03,---,---,---
4,SBI,Mar 17,13.43,13.43,16.02,2.60,220.13,13.15,1.99,5.97,0.38,6.69,2467752.16,14.06,1.49,1.33,79.88,0.04,---,---,---
5,SBI,Mar 16,12.98,12.98,15.01,2.60,211.26,12.82,1.96,6.06,0.42,6.89,2075268.45,12.65,1.05,0.92,79.71,0.07,---,---,---
6,SBI,Mar 15,17.55,17.55,19.04,3.50,204.13,17.55,2.06,8.59,0.63,10.20,1865394.71,12.24,1.55,1.31,79.78,0.07,---,---,---
7,SBI,Mar 14,15.68,15.68,16.37,3.00,182.64,14.59,1.89,7.98,0.60,9.20,2924734.90,21.45,12.11,10.50,79.43,0.01,---,---,---
8,SBI,Mar 13,210.06,210.06,222.86,41.50,1749.29,206.20,2.11,11.78,0.90,14.26,1447875.02,12.10,1.43,1.18,79.87,0.10,---,---,---
9,SBI,Mar 12,184.31,184.31,189.47,35.00,1587.40,174.46,2.51,10.99,0.87,13.94,1257160.88,11.80,1.67,1.32,79.93,0.08,---,---,---
10,RELIANCE,Mar 21,49.66,48.90,63.84,7.00,381.17,49.56,5.82,13.00,3.65,6.73,1479239.40,6.02,2.72,5.26,87.72,0.02,28.11,30.61,19.66
11,RELIANCE,Mar 20,48.42,48.72,64.10,6.50,531.56,48.75,8.84,9.17,3.18,7.89,950998.06,2.82,1.80,2.09,87.53,0.04,34.67,14.32,19.70
12,RELIANCE,Mar 19,55.48,55.47,72.13,6.50,586.24,55.47,9.95,9.46,4.53,8.67,1017464.40,2.74,2.13,2.33,89.89,0.04,47.90,15.03,18.21
13,RELIANCE,Mar 18,53.08,53.04,68.18,6.00,457.84,53.06,11.80,11.58,5.44,10.68,653357.80,2.25,1.78,1.93,90.31,0.06,46.96,10.90,20.67
14,RELIANCE,Mar 17,96.90,96.73,122.70,11.00,744.46,96.66,11.04,12.98,5.74,10.89,528420.92,2.18,1.49,1.77,0.00,0.07,44.26,10.17,21.47
15,RELIANCE,Mar 16,84.66,84.66,114.15,10.50,719.62,84.62,8.24,11.75,5.98,11.41,424125.00,1.82,1.41,1.45,88.71,0.08,50.93,8.89,20.46
16,RELIANCE,Mar 15,70.25,70.25,96.44,10.00,1016.92,70.21,7.41,6.90,5.71,10.51,344442.92,1.05,1.23,0.81,87.04,0.09,82.72,8.54,12.25
17,RELIANCE,Mar 14,68.05,68.05,95.21,9.50,1207.05,68.02,8.08,5.63,5.98,11.15,349271.40,0.90,1.52,0.77,87.29,0.07,106.13,8.77,10.20
18,RELIANCE,Mar 13,64.82,64.82,94.36,9.00,1115.82,65.04,8.92,5.82,6.59,11.73,254803.73,0.71,1.40,0.69,87.48,0.08,113.11,6.57,10.76
19,RELIANCE,Mar 12,61.21,61.21,96.10,8.50,1008.57,61.27,8.85,6.07,6.78,12.29,263781.58,0.80,1.50,0.74,87.37,0.08,111.77,6.63,12.06
20,TCS,Mar 22,104.34,103.24,113.96,43.00,438.09,104.34,60.23,23.81,31.49,49.48,1354708.80,8.45,17.73,8.53,0.00,0.03,132.22,25.21,33.51
21,TCS,Mar 21,82.78,82.78,91.93,38.00,367.47,83.68,52.75,22.77,28.30,41.39,1172570.00,8.62,15.72,8.65,64.95,0.03,124.30,25.65,33.61
